Target,Gloss
qu'est-ce,What is that
tomate,tomato
porc,pork
lit,bed
cochons,pigs
ouvre,opens
aye,aye
Émilie,Emilia
salades,salads
porcinet,Piglet
four,oven
crayon,pencil
balai,broom
taille,cut
perceuse,drill
vis,screw
sort,fate
allez,going
ben,ben
Minnie,Minnie
voitures,Car
prêt,ready
oiseaux,birds
mécanique,mechanical
course,race
bouchon,plug
partie,part
mur,Wall
puis,then
parterre,on the ground
locomotive,locomotive
bord,edge
ferme,closed
l'oie,goose
pintades,guinea fowl
peut-être,perhaps
pintade,guinea fowl
dis,tell
bec,beak
ver+de+terre,More + earth worm
bébés,babies
fesses,buttocks
oie,goose
blanche,white
qu'est,what
oies,geese
pleurent,mourn
dindon,turkey
orange,orange
chevaux,horses
chèvres,goats
moutons,sheep
taureau,Taurus
page,page
ourson,bear cub
bonhomme,fellow
casquette,cap
accrocher,to hook
trous,holes
pompiers,firefighters
klaxon,honk
pin_pon@o,nee_naw
roues,wheels
tapis,carpet
Margot,Margot
tap,tap
igloo,igloo
patatras,wham
hélicoptère,helicopter
canari,canary
citron,lemon
glace,ice cream
chemise,shirt
pull,sweater
attend,waits
chaton,kitten
parapluie,umbrella
patapon,Patapon
manteau,coat
croquettes,croquettes
terre,Earth
lumière,light
noël,Christmas
chante,sung
machine,machine
cabane,hut
monte,mounted
regarder,watch
feuille,leaf
pompier,firefighter
chats,cats
moustaches,whiskers
renard,fox
donné,given
clou,nail
bazar,bazaar
pété,farted
barrière,fence
allumer,light up
raté,missed
télé,TV
mettre,to put
bah,bah
t'aide,Help you
attraper,to catch
celui-là,that one
rouge+gorge,red throat +
super,Great
appuie,supports
bêtise,foolishness
caneton,duckling
plouf,plonk
nénuphar,nenuphar
libellule,dragonfly
dong,dong
papillon,butterfly
cloche,Bell
Plume,Feather
ouille,ouille
s'est,its
mouette,seagull
passer,pass
derrière,behind
froid,cold
câlin,Hug
sous,under
danse,dance
arrêter,Stop
balais,broom
bête,stupid
miette,crumb
poubelle,trash can
cheveux,hair
couper,cut
coupe,chopped off
boit,drinking
poulet,chicken
parmesan,Parmesan cheese
assiette,plate
assiettes,plates
beaucoup,a lot
fourchette,fork
poire,Pear
tout,all
tasse,Cup
trouvé,find
poireau,leek
monsieur,gentleman
tic+tac,tic tac +
sucre,sugar
frite,fried
couic,funny money
ici:,here:
tableau,board
salon,living room
soupe,soup
ah_la_la_ah-là,ah_la_la_ah then
Franklin,Franklin
Moogli,Moogli
Kirikou,Kirikou
l'herbe,the grass
dessus,above
boue,mud
pots,pots
plat,dish
piment,chilli pepper
brûle,burns
vieil,old
homme,man
frisés,curly
paquet,package
feu,fire
vases,vases
cuire,cook
ficelle,string
jupe,skirt
bleue,blue
verte,green
tonton,uncle
pluie,rain
botte,boot
ouf,whew
village,town
colère,anger
fruits,fruits
patates,potatoes
douces,sweet
manioc,cassava
voilà:,here:
vaisselle,washing up
poteries,pottery
crêpe,crepe
pose,pose
bien,good
dessine,draws
mis,placed
dedans,in
mains,hands
sale,dirty
lavabo,bathroom sink
clé,key
éclair,lightning
flocon,flake
Loulou,spitz
voisin,neighbour
ping+pong,ping pong +
table,table
tente,attempted
pizza,pizza
café:,Coffee:
bouteille,bottle
cuit,cooked
couverts,Covered
l'assiette,trim
tchin,tchin
attendre,wait
soufflé,breath
pâte,dough
sel,salt
peau,skin
porter,carry
sali,sali
moucher,snuff
sirop,syrup
grenadine,grenadine
rouges,red
jaunes,yellows
petite,small
queue,tail
marin,marine
jumelles,binoculars
vole,Fly
marche,market
piles,Battery
tourner,turn
seul,alone
couvercle,lid
sorti,got out
cherche,looking
bergère,shepherdess
ailes,wings
bâtons,sticks
Tchoupi:,Tchoupi:
neige,snow
gants,gloves
moufles,mittens
savon,soap
cogné,hit
rangé,tidy
gamelle,billy
soeur,sister
chargée,loaded
école,school
crie,calls out
mange,eat
ans,years
pelle,shovel
vais,am going to
camions,trucks
fleurs,flowers
poubelles,trash
grosse,big
garage,garage
arrêté,stopped
arrête,stopped
vu:,seen:
scotch,Scotch
Ame,Soul
sais,know
compote,compote
moi:,I:
amuse,amused
propre,clean
viande,meat
chaude,hot
laisse,leash
mordu,bitten
chips,chips
balaie,sweeps
sors,go outside
miettes,crumbs
tour,tower
escalier,staircase
refaire,remake
Chaley,Chaley
l'autre,the other
choisis,choose
remettre,reset
l'éléphant,elephant
casserole,pan
bois,wood
mémé,even
karaté,karate
cartable,backpack
joujou,toy
trompe,deceived
genoux,knees
raquette,racket
skie,skiing
glisse,slips
badaboum,badaboum
robe,dress
traces,footsteps
éléphants,elephants
cassette,cassette
vide,empty
baignent,bathe
hamac,hammock
balancer,swing
jungle,jungle
assis,seated
singe,monkey
dansent,dance
cascade,cascade
dents,teeth
langue,language
soif,thirst
toucher,to touch
Potam,Hippo
coquin,rascally
vapeur,steam
miel,honey
fleur,flower
crèche,creche
Hugo,Hugo
joli,pretty
coussin,cushion
Colin,hake
lampe,lamp
bottes,boots
écharpe,scarf
Basil,Basil
piano,piano
vase,vase
poches,pockets
colle,glue
Simon,Simon
saucisse,sausage
accroche,hangs
sûr,sure
puzzle,puzzle
citrouille,pumpkin
manque,lack
fort,strong
gauche,left
animaux,animals
l'hippopotame,hippo
goûter,to taste
panier,basket
brosse,brush
fromage,cheese
doigts,fingers
verres,glasses
points,points
balles,bullets
gagné,won
boumé,Bourne
quelque,some
chose,thing
quatre+quatre,four + four
legos,legos
lego,lego
palmier,palm
robot,robot
craie,chalk
carré,square
Tim,Tim
bouts,ends
répare,repairs
cadeaux,gifts
blanc,White
balançoire,swing
jonquille,daffodil
escargots,snails
bac,trough
sable,sand
gratte,scratch
chasser,hunt
tombée,fall
bouche,mouth
chanté,sung
hou,boo
sauvé,Safe
flaques,puddles
descend,down
brioche,Brioche
fraises,strawberries
fraise,strawberry
aime,love
balayette,brush
cachée,hidden
passée,past
pouce,thumb
bobo,bobo
bougé,shake
chaudes,hot
dehors,outside
gant,glove
m'aider,help me
appuyer,to press
index,index
enlève,removes
garder,keep
chauffe,heated
sucette,lollipop
attaché,attached
cancan,cancan
cuisses,thighs
mollets,calves
bras,arms
os,bone
recolle,glue together
serpent,snake
champignons,mushrooms
Tatie,Aunt
Oliv,oliv
gazon,grass
oeuf,egg
ramassé,picked up
l'enlever,remove
sieste,nap
coups,shots
difficile,difficult
place,square
Mimi,Mimi
poules,hens
Mickey,Mickey
image,picture
Jabotte,Jabotte
tout_à_l'heure,see you later
légos,Legos
cheminée,fireplace
Val,Val
peut,can
hier,yesterday
autres,other
doum@o,boom
aux,to the
cubes,cubes
cube,cube
grande,big
violet,purple
zut,Damn
recommence,start again
mince,thin
aîe,Ouch
vidé,empty
oublié,forget it
Thé,Tea
fourmis,ants
ruche,hive
vider,empty
motte,sod
salle+de+bains,More room + bathroom
Amé,Soul
couleurs,colors
collés,bonded
passe,past
passé,past
l'écrou,nut
bu,drank
plage,beach
tomber,fall
d'abord,first
Hector,Hector
canapé,sofa
waf@o,woof
allé,go
bus,bus
canards,ducks
veaux,calves
veau,veal
mer,Wed
mare,pond
lac,lake
croa,caw
roseaux,reeds
l'araignée,spider
coquine,hussy
m'a,my
piqué,dive
poussins,chicks
canetons,ducklings
lapins,rabbits
grenouilles,frogs
six,six
huit,eight
soleil,Sun
tard,late
cot@o,quack
fil,wire
éclabousser,splash
rainette,frog
met,puts
dessin+animé,+ drawing animated
animé,animated
télévision,television
fonds,funds
bidule,thingy
poney,pony
biscuit,biscuit
radio,radio
chaussures,shoes
pendule,pendulum
autour,around
bracelet,bracelet
montre,watch
aiguilles,points
brosse+à+dents,brush teeth to + +
Chalet,Chalet
robinet,tap
défait,fact
trouve,find
fenêtre,window
montagne,Mountain
renverser,overthrow
cocotier,coconut tree
son,his
haute,high
longue,long
gigantesque,gigantic
dessous,below
grandi,grown up
tunnel,tunnel
mouche,fly
l'amener,bring
wagons,cars
amener,lead
wagon,car
éh:,éh:
arrondis,rounded
c'était,it was
commencer,to start
dire,say
virages,bends
gare,station
l'ai,have
retrouvé,found
voulais,wanted
emmener,bring
Lyon,Lyon
prochaine,next
fois,times
recule,recedes
euh:,uh:
garer,park
route,road
rails,tracks
l'accident,the accident
garé,station
circuit,circuit
ascenseur,elevator
vite,quickly
travail,job
toboggan,toboggan
capot,hood
ouvert,open
casser,break
dévissé,unscrewed
réparé,mended
ils,they
tombés,fallen down
gens,people
l'essence,gasoline
essence,gasoline
même,even
reculer,retreat
gâteaux,cakes
langue+de+chat,+ + language of cat
ham,ham
bout,end
toute,all
méchant,mean
boudin,black pudding
dit,said
sert,serves
téléphone,phone
bleus,blue
Aglaë,Aglaë
conduit,pipe
retournes,going back
rhabiller,dressed
retirer,remove
catastrophe,disaster
tirer,shoot
changer,switch
trouver,find
moulins,mills
l'attraper,catch
facile,easy
saute,jumped up
ciel,sky
cinq,five
vent,wind
solide,solid
anniversaire,anniversary
dix,ten
belle,pretty
grue,crane
jouets,toys
tous,all
essayer,try
remet,returns
remis,handed
était,was
défaire,to do
évident,obvious
zoup@o,zoup @ o
chevalier,knight
ressemble,looks like
monté,mounted
remonter,ride up
copie,copy
refait,again
nous,we
plateau,tray
toit,roof
tuyau,pipe
interdit,prohibited
obligatoire,mandatory
plein,full
d'autres,other
reine,Queen
dame,lady
rois,kings
renversé,reversed
maladie,disease
dois,have
grandes,great
écroule,collapses
fauteuil,armchair
l'apporter,bring
s'écroule,collapses
sens,meaning
canapés,sofas
petites,small
faut,should
jeté,thrown
toutes,all
affaires,business
voisins,neighbors
gentil,kind
qu'on,that we
acheter,buy
roulent,roll
façon,way
à-côté,beside
drôle,funny
noires,black
éh+non,+ not éh
l'envers,upside
l'endroit,the place
bonhommes,men
vers,towards
ton,your
armoire,cabinet
payer,pay
échappe,escapes
fille,girl
parc,Park
bizarre,weird
ces,these
prendre,take
pchit@o,tweet
travailler,to work
rouler,roll
l'instant,Nothing
appelle,call
appelles,call
s'appelle,named
Julien,Julian
m'appelle,call me
d'ailleurs,anyway
arriver,arrive
me,me
blancs,whites
arrivé,come
car,because
tes,your
souhaits,greetings
hasard,hazard
mouchoir,tissue
te,you
là-dedans,in there
étais,was
s'en,get
conduire,drive
pleurer,cry
montrer,to show
l'est,ballast
notre,our
légumes,vegetables
aimez,like
manges,eat
gourmands,greedy
filles,girls
montes,mounted
ont,have
tourné,turned
n'importe_quoi,whatever
journée,day
moitié,half
bibliothèque,library
écouter,listen
venir,come
appétit,appetite
cool,cool
emmène,takes
jette,throws
seau,bucket
toilette,toilet
toilettes,restrooms
saletés,dirt
tablier,apron
bricole,tinker
tournevis,screwdriver
établi,established
bricolage,DIY
jardine,jardine
arrosoir,watering can
plantes,plants
linge,laundry
lessive,Laundry detergent
l'accroche,grip
pinces,pliers
pinces+à+linge,+ + pliers to machine
pincer,pinch
repasses,feints
bascule,rocker
branche,plugged
marcher,walk
courir,run
Tobi,Tobi
collier,necklace
perles,beads
attrape,catch
attrapent,catch
l'école,school
font,make
pomme+de+terre,apple + of + E
dessins+animés,animated drawings +
chouette,owl
fête,Party
mettent,put
consoler,console
chez,in
marrant,funny
frère,brother
blague,joke
grand-mère,Grandmother
douché,shower
nettoyé,cleaned up
m'essuyer,wipe me
grand-père,grandfather
poils,fur
longs,long
monde,world
Pois,peas
Paul,Paul
entend,hears
casseroles,pans
vont,will
jardin,garden
piscine,swimming pool
enlevé,removed
qu'ils,they
déchirée,torn
prêter,to lend
mouettes,seagulls
dirait,would say
connaît,knows
trains,trains
caisses,crates
échelle,ladder
flocons,flakes
n'a,n / A
celui-ci,this one
voulait,wanted to
cher,expensive
madame,Mrs
peuvent,can
mêmes,same
réparer,to fix
morceaux,parts
combien,how much
voulez,want
crotte,dung
volé,Fly
bruits,sounds
lâche,loose
se,himself
traverser,to cross
prend,take
écoute,listen
planter,plant
choux,cabbage
oiseau:,bird:
éléphant:,elephant:
rhinocéros,rhinoceros
croqué,crunched
céréales,cereals
www,www
coloriages,coloring
coloriage,coloring
déchiré,torn up
baleine,whale
crêche,creche
cintre,hanger
déjeuner,lunch
sceau,seal
cette,this
brouette,wheelbarrow
radis,radish
fini:,finished:
brun:,brown:
gorge,throat
énerve,upset
m'énerve,get angry
crois,think
va:,go:
coton,cotton
n'importe,anything
oignons,onions
si:,if:
violette,violet
accident,accident
écrasé,crushed
ramasser,to pick up
trucs,stuff
transporter,carry
m'as,hast
camion:,truck:
magasin,store
Minni,Minni
fille:,girl:
dessiné:,drew:
dessiné,designed
flammes,flames
écrire,to write
qu'il,it
marqué,Mark
entoure,surrounded
effacer,wipe off
effacé,erased
nuages,clouds
pas:,not:
énorme,huge
content:,happy:
l'effacé,the erased
effacé:,erased:
efface,clears
d'oeuvre,lumber
poisson:,fish:
l'ourson,the Pooh
ne,born
jamais,never
calmée,subsided
l'étoile,the star
fond,background
taupe,mole
amène,bring
sinon,if not
bébé:,baby:
droit,law
regarder:,watch:
sorcière,witch
quand_même,quand_même
volent,fly
chauds,hot
s'énerve,gets mad
s'énerver,get worked up
mangent,eat
l'ont,have
l'année,year
jeux,games
Bécassine,Snipe
berlue,berlue
molosse,mastiff
journal,newspaper
âne,donkey
voler,steal
sorcier,Wizard
lu,read
déjà,already
carreaux,tiles
anneau,ring
brun,brown
sortir,exit
coussins,cushions
tambour,drum
tourniquet,turnstile
toupie,top
dînette,tea party
apporte,brings
chocolats,chocolates
fourchettes,forks
purée,mash potatoes
foncée,dark
pierres,stone
cailloux,pebbles
beaux,beautiful
biftecks,steaks
bords,edges
grignoté,nibbled
patins+à+roulettes,skates + to + casters
voudrais,would like
bouge,moves
toujours,always
Trotte_Saut,Trotte_Saut
mûres,blackberries
trotte,trots
saut,jump
bol,bowl
qu'un,one
prunes,plums
j'aime,I love
fatigué,tired
tenir,hold
clown,clown
tictic,tictic
tombent,fall
chaviré,capsized
pompons,pompons
dégonflé,deflated
gonfler,inflate
cahier,notebook
réparée,fixed
tunnels,tunnels
casse,broken
père+noël,father christmas +
traîneau,sled
Père_Noël,Santa Claus
posé,laid
jolie,pretty one
vient,just
poser,to pose
l'abeille,bee
joué,play
truc,thing
qu'arrive,arrives
Polichinelle,Punch
arbre,tree
arbres,trees
bonhommes+de+neige,More snow snowmen +
capuche,hood
bonnet,cap
boules,bowls
luge,luge
bonhomme+de+neige,Snowman More Snow +
là-dessus,thereupon
violets,purple
éclaté,bursts
déraper,skid
doucement,slowly
éclater,to burst
dépêche,telegram
lézard,lizard
l'ordinateur,computer
cinéma,cinema
arrivent,arrive
coincée,trapped
demain,tomorrow
pressé,hurry
coquins,rogues
puzzles,puzzles
taper,type
compter,count
rentrer,return
entrer,enter
houx,holly
forêt,forest
chanteurs,singers
Halloween,Halloween
déguiser,disguise
Porcinet,Piglet
écroulé,collapsed
tlic@o,tlic @ o
touc,touc
écroulée,collapsed
envers,towards
éléphanteau,elephant
pousse,shoot
Titi,titi
passés,past
entrée,Entrance
quelqu'un,someone
cils,eyelashes
sourcils,eyebrows
chance,luck
écrase,crushed
écrabouillés,squashed
ramasse,picked up
travaux,works
chargé,charge
rempli,filled
hisse,hoisted
s'arrête,stop
chansons,songs
coude,elbow
plante,plant
chou,cabbage
l'a,the
pâquerettes,daisies
est-ce,Is
marguerites,daisies
chanter,sing
l'escargot,the snail
souviens,remember
sucettes,lollipops
fusées,rockets
fusée,rocket
Paris,Paris
Montauban,Montauban
Toulouse,Toulouse
hirondelle,swallow
fichu,damn
avait,had
navire,ship
mignonne,cute
ceux-là,those ones
rigole,laugh
matines,matins
s'appelait,was called
l'air,the air
guitare,guitar
trompette,trumpet
coin@o,quack
coins@o,quack
arracher,snatch
cirque,circus
guirlandes,tinsel
ardoise,slate
grabouillages,grabouillages
décoré,decorated
croix,cross
malade,sick
tapisserie,tapestry
téléphonais,phoned
viennent,are coming
faudrait,should
penser,think
l'attend,awaits
habiller,dress
short,shorts
avais,had
tapé,typed
Juliette,Juliette
été,summer
habillé,dressed
sans,without
habille,dressed
toile,canvas
d'araignée,spider
mobile,mobile
salle+de+bain,More room + bathroom
Felix,Felix
c'est:,it is:
frigo,fridge
compotes,compotes
suisse,Swiss
Kiri,Kiri
étale,spread
confiture,jam
devenir,to become
rechercher,search
l'oreille,the ear
brosser,brush
poupées,dolls
coiffer,style
serviette,towel
tissu,tissue
avoir,to have
biscotte,rusk
s'il,it
plaît,please
vas,going
coucher,sleep
coquelicots,poppies
mésange,tit
pollen,pollen
sept,seven
limace,slug
fourmi,ant
puceron,aphid
sauterelle,Grasshopper
chenille,caterpillar
punaise,Thumbtack
paf,wham
craqué,cracked
Blanc,White
tienne,yours
neuf,new
vous,you
connaissez,know
nid,nest
tais,tais
merle,blackbird
siffle,whistles
l'écureuil,the squirrel
attrapé,caught
noisette,hazelnut
gland,glans
fruit,fruit
sanglier,Boar
creux,hollow
nuit,night
images,imagery
grosses,large
coupent,cut
barbe,beard
pitch@o,tweet
d'étoile,Canvas
mien,mine
socles,plinths
socle,basement
Charli,Charli
crochon,crochon
porcherie,piggery
pif,conk
vagues,waves
poulailler,chicken coop
Taloula,Taloula
au+secours,Relief at +
niche,niche
abeilles,bees
pouac@o,pouac @ o
m'enlever,take me away
laver,wash
sent,feels
mauvais,bad
l'essuyer,wipe
plonger,plunge
douche,shower
habits,clothes
lave,wash
sèche,dried
couche,layer
lacets,laces
Pâques,Easter
pièces,rooms
étaient,were
bonnes,good
tuc,you know
crayons,pencils
tasses,cups
bague,Ring
Kadi,Kadi
Hippolyte,Hippolyte
Casimir,Casimir
t'as,you got
entendu,heard
cartes,cards
énervé,edgy
dormir,to sleep
giling@o,Giling @ o
ferment,ferment
seuls,only
sommeil,sleep
t'endormir,fall asleep
éveille,awake
empêche,stop
renards,foxes
rappelle,remember
monstres,monsters
rappelles,remember
restée,remained
d'orange,orange
fessée,spanking
dormi,slept
contentes,happy
aj,aj
cric,jack
prends,take
m'essuie,wipe my
pars,leave
mamie,granny
bulles,bubbles
docteur,doctor
Biboulné,Biboulné
pingouin,Penguin
histoires,stories
entendre,hear
n'y,there
médicament,drug
s'envole,flies
soignent,treat
pingouins,penguins
piqûre,sting
soigne,cared for
dad,dad
mum,mum
bonbons,candy
formes,forms
biberon,baby bottle
hippopotames,hippopotamuses
apportent,bring
pages,pages
m'allonge,lie down
fatiguée,weary
m'allonger,lounged
cacao,cocoa
laissé,leash
viennes,come
t'asseois,you sit down
tout_de_suite,right now
wah,wah
Aba,Aba
çà,it
Mar,Mar
wouf@o,woof
wouf,woof
hum,hum
ceux-ci,these
hé,Hey
aìe,Ouch
Leila,Leila
A,AT
allumé,alight
bom,bom
ba,ba
Marie,Married
loto,lotto
miau,meow
part,go
doudous,doudous
datte,date
mie,crumb
tige,stem
livres,books
clés,Keywords
maman:,mom:
chouchou,pet
hou_la,hou_la
Ann,Ann
l'oiseau,the bird
entends,hear
l'lait,the milk
mandarine,mandarin
Dad,Dad
Mam,Mam
Ger,Ger
Ali,Ali
Aline,Aline
maline,clever
voit,sees
clefs,keys
clef,key
s,s
regardes,look
note,note
boisson,drink
l'ouvre,opens
h,h
repas,meal
marron,Brown
oup,oup
Matalie,Matalie
emporter,carry
filmer,filming
miaou@o,meow
bê@o,baa
mo@o,moo
salade,salad
gommette,sticker
papier,paper
da,da
gling,gling
ceinture,belt
Natalie,Natalie
hi@o,hi @ o
pff@o,pff @ o
meuh@o,moo
culotte,cheeky
barrette,bar
entrez,Come in
celle-ci,this one
kluwn,kluwn
bavette,bib
yaourt,yogurt
sales,dirty
celles-ci,these
Géraldine,Geraldine
cacahouètes,peanuts
kiwi:,Kiwi:
groseilles,gooseberries
bananes,bananas
collant,tights
hi+han,hi + han
Didou,Louie
siège,seat
m'assoie,I sit
assise,seated
filme,filming
ohlàlà,Oh dear
ça_y_est,that's it
glin@o,glin @ o
gling@o,gling @ o
mouchoirs,handkerchiefs
mocher,Mocher
Nathalie,Nathalie
mouché,fly
Geraldine,Geraldine
téléphoné,phone
Magalie,Magalie
ci,this
Magali,Magali
oups,oops
seule,only
veste,jacket
crottes,droppings
noeud,node
couches,layers
téléphoner,call
porté,door
méchante,nasty
pédale,pedal
médicaments,pharmaceuticals
pédaler,pedal
wow,wow
d'eau,water
M,M
baume,balm
lèvres,lips
s'assied,sits
lèvre,lip
